x,y,z
-37.398,32.5724,-0.0496
-37.2762,31.9852,-0.0296
35.6887,-30.5311,-0.0295
35.8063,-31.0837,-0.0285
-37.4005,25.5162,-0.0265
24.2704,-31.0876,-0.0254
24.148,-30.5356,-0.0247
35.6898,32.5751,-0.0247
-37.2729,24.9263,-0.0244
35.7917,-24.0795,-0.0233
35.6882,25.5178,-0.0231
35.8105,24.9297,-0.0231
35.691,-23.4973,-0.0229
35.8101,31.9827,-0.0224
35.6971,11.5045,-0.0221
-25.8579,32.5722,-0.0208
12.7273,-31.0847,-0.0208
-37.4004,18.5501,-0.0202
35.7935,17.9533,-0.0201
35.8043,-17.0823,-0.0199
-25.7372,31.9807,-0.0198
12.6092,-30.5306,-0.0198
35.8128,10.9392,-0.0198
35.6936,-0.1379,-0.0198
24.1492,-23.4978,-0.0197
35.8102,1.5948,-0.0192
35.6797,-16.496,-0.0192
35.6862,18.5558,-0.0191
35.6895,2.1513,-0.019
24.2462,-24.0797,-0.0188
-37.2895,17.9526,-0.0187
-25.735,24.9277,-0.0184
35.8111,-0.7557,-0.0181
35.6862,-9.5262,-0.0167
-37.2739,10.9419,-0.016
-37.395,11.4995,-0.0158
-25.8545,25.5153,-0.0155
24.2686,-17.0819,-0.0155
35.7998,-10.0743,-0.0155
-14.3195,32.5796,-0.0153
24.1417,-16.5001,-0.0152
12.7099,-24.0734,-0.0151
-37.3984,2.1503,-0.0146
-25.8634,18.549,-0.0141
1.0692,-30.5306,-0.0139
1.189,-31.0895,-0.0139
-37.2702,1.597,-0.0136
-25.7512,17.9533,-0.0136
12.6096,-23.4967,-0.0133
-2.773,-30.5324,-0.0132
-37.391,-0.1421,-0.013
24.1422,18.5481,-0.0129
-2.6552,-31.0882,-0.0128
-37.2827,-10.0714,-0.0126
-25.8572,-30.5325,-0.012
24.1464,-9.5256,-0.012
-37.2743,-0.7485,-0.0119
24.1516,32.5745,-0.0117
24.1479,25.5188,-0.0117
24.2673,24.928,-0.0117
24.2694,1.5963,-0.0116
-14.3162,-30.53,-0.0115
-37.4004,-16.4978,-0.0113
24.1537,11.508,-0.0113
-37.2753,-17.085,-0.011
-37.279,-31.0908,-0.011
-14.1971,-31.0888,-0.011
24.2699,31.9789,-0.0109
-37.398,-30.54,-0.0108
-14.3157,25.5156,-0.0108
24.2567,17.9475,-0.0107
-14.1994,31.9816,-0.0106
-25.7334,1.5977,-0.0105
-37.3955,-23.4976,-0.0104
-37.4002,-9.5396,-0.0103
-25.8562,2.157,-0.0099
-2.6783,-24.077,-0.0097
1.0747,-23.5032,-0.0097
24.2601,-10.0763,-0.0096
24.1514,2.1507,-0.0095
1.1891,31.9785,-0.0094
12.7293,-17.085,-0.0094
-37.2931,-24.0818,-0.0093
-25.7544,-24.0755,-0.0093
24.2726,10.9381,-0.0093
24.1544,-0.1406,-0.0093
-25.8568,11.5088,-0.0091
-25.8538,-23.5024,-0.0091
-25.733,10.941,-0.009
-25.8584,-9.5288,-0.0089
12.6013,-16.5017,-0.0089
-25.8504,-0.1359,-0.0086
-14.1991,1.5997,-0.0083
24.268,-0.7542,-0.0083
-14.1949,24.9294,-0.0082
-25.7368,-31.0897,-0.008
-2.7768,-23.4997,-0.0077
-14.2093,17.953,-0.0075
-25.7413,-17.0808,-0.0073
1.1702,-24.0783,-0.0073
-14.2135,-24.0774,-0.0072
-25.7441,-10.0769,-0.0071
-2.6605,31.9799,-0.0071
-25.8631,-16.5003,-0.0066
-25.7345,-0.7567,-0.0065
-14.3182,2.1492,-0.0065
-14.3075,-0.1359,-0.0064
1.0682,32.5782,-0.0064
-14.1929,10.9365,-0.0063
-14.3171,-23.4964,-0.0063
12.7299,31.9825,-0.0063
-14.3186,18.5447,-0.0061
-2.779,25.5171,-0.0061
-2.6564,-17.0811,-0.0061
-2.7797,32.5752,-0.006
12.611,32.5707,-0.006
-14.1969,-0.7593,-0.0052
-2.7821,-16.5012,-0.0051
-14.1987,-17.0782,-0.005
-2.6614,-10.0728,-0.0049
-14.3139,11.5082,-0.0048
12.6083,25.5187,-0.0046
12.6073,-9.5278,-0.0044
-14.3216,-16.5003,-0.0043
1.0696,25.5172,-0.0041
12.7207,-10.0739,-0.0041
-14.3226,-9.5308,-0.004
-2.6577,24.9196,-0.004
-2.6686,17.9511,-0.004
1.1901,-17.0835,-0.0039
12.7313,24.9264,-0.0038
12.7288,-0.7564,-0.0035
12.7183,17.9515,-0.0034
1.0644,-9.5301,-0.0032
12.6045,18.5522,-0.0032
-2.78,2.1481,-0.0028
-2.7793,-9.5279,-0.0028
-2.7754,-0.1427,-0.0027
12.6207,-0.1376,-0.0026
1.0647,-16.494,-0.0025
1.066,18.5493,-0.0024
-2.6562,-0.756,-0.0023
1.1905,1.5955,-0.0023
-2.7815,18.55,-0.0021
-2.7749,11.5045,-0.002
1.077,-0.1401,-0.0015
1.1855,24.9321,-0.0014
1.1804,-10.0755,-0.0013
-2.6496,10.9374,-0.0011
12.7328,10.9388,-0.001
12.6086,2.1537,-0.001
-2.6558,1.5968,-0.0009
1.0692,2.1514,-0.0008
1.188,-0.7562,-0.0005
12.6133,11.5047,-0.0005
1.1739,17.9502,-0.0001
1.0694,11.5065,-0.0001
-14.2043,-10.076,0
1.1939,10.9393,0
12.7294,1.5982,0
